tradedate,tradedatetime,cleareddate,dealid,tradeid,productid,productname,productgroupid,contractmonth,quantitylots,quantityunits,b/s,price,strike,put/call,brokergroupid,exchangegroupid,exchclearingacctid,trader,clearingstatus,tradingsession,unit,source
"June 20, 2025",01:00:01 AM GMT,,1.9E+13,,,380cst,,Sept-25,5,"5,000",Sold,463.5,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:01:39 AM GMT,,1.9E+13,,,marine 0.5%,,Sept-25,10,"1,000",Sold,533,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:01:39 AM GMT,,1.9E+13,,,marine 0.5%,,Sept-25,2,"2,000",Sold,533,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:02:02 AM GMT,,1.9E+13,,,380cst,,Sept-25,20,"2,000",Sold,464,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:03:48 AM GMT,,1.9E+13,,,380cst,,Sept-25,10,"1,000",Sold,463.75,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:03:48 AM GMT,,1.9E+13,,,380cst,,Sept-25,1,"1,000",Sold,463.75,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:06:33 AM GMT,,1.9E+13,,,marine 0.5%,,Jul-25,20,"2,000",Sold,542.25,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:09:01 AM GMT,,1.9E+13,,,380cst,,Sept-25,5,"5,000",Sold,465,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:19:51 AM GMT,,1.9E+13,,,marine 0.5%,,Sept-25,10,"1,000",Sold,533,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:20:38 AM GMT,,1.9E+13,,,marine 0.5%,,Sept-25,10,"1,000",Sold,533.25,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:20:42 AM GMT,,1.9E+13,,,marine 0.5%,,Sept-25,10,"1,000",Sold,533.5,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:21:00 AM GMT,,1.9E+13,,,380cst,,Jan-26,5,"5,000",Sold,439.25,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:24:53 AM GMT,,1.9E+13,,,marine 0.5%,,Sept-25,10,"1,000",Sold,533.5,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:36:11 AM GMT,,1.9E+13,,,marine 0.5%,,Sept-25,10,"1,000",Sold,532.75,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:42:12 AM GMT,,1.9E+13,,,marine 0.5%,,Oct-25,10,"1,000",Sold,528,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:46:14 AM GMT,,1.9E+13,,,marine 0.5%,,Oct-25,20,"2,000",Sold,527.5,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",02:39:11 AM GMT,,1.9E+13,,,marine 0.5%,,Aug-25,30,300,Bought,535.75,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",06:51:29 AM GMT,,1.9E+13,,,380cst,,Jul-25,30,"3,000",Sold,475.95,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",06:58:11 AM GMT,,1.9E+13,,,marine 0.5%,,Jul-25,17,"1,700",Sold,542.25,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",07:08:51 AM GMT,,1.9E+13,,,marine 0.5%,,Aug-25,5,500,Bought,535,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",07:36:01 AM GMT,,1.9E+13,1.9E+13,,marine 0.5%,,Jul-25,5,"5,000",Bought,542.5,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",07:36:01 AM GMT,,1.9E+13,1.9E+13,,marine 0.5%,,Aug-25,5,"5,000",Sold,537,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",07:37:41 AM GMT,,1.9E+13,,,marine 0.5%,,Jul-25,10,"1,000",Sold,542,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",08:13:47 AM GMT,,1.9E+13,,,marine 0.5%,,Jul-25,10,"1,000",Bought,542.5,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",08:38:33 AM GMT,,1.9E+13,,,marine 0.5%,,Jul-25,10,"1,000",Bought,543,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",08:38:33 AM GMT,,1.9E+13,,,marine 0.5%,,Jul-25,1,"1,000",Bought,543,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",09:06:29 AM GMT,,1.9E+13,,,marine 0.5%-380cst,,Aug-25,20,"2,000",Sold,68.25,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",09:12:35 AM GMT,,1.9E+13,,,marine 0.5%-380cst,,Aug-25,30,"3,000",Sold,68,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",09:27:48 AM GMT,,1.9E+13,,,marine 0.5%,,Jul-25,35,350,Bought,542,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",09:42:22 AM GMT,,1.9E+13,1.9E+13,,380cst,,Jul-25,5,"5,000",Bought,474,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",09:42:22 AM GMT,,1.9E+13,1.9E+13,,380cst,,Aug-25,5,"5,000",Sold,470.5,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",10:00:00 AM GMT,,1.9E+13,1.9E+13,,380cst,,Jul-25,5,"5,000",Sold,472.75,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",10:00:00 AM GMT,,1.9E+13,1.9E+13,,380cst,,Aug-25,5,"5,000",Bought,468.75,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",10:07:34 AM GMT,,1.9E+13,,,marine 0.5%,,Jul-25,8,800,Bought,541,,,3,1,2,"Yik, R",,,mt,ICE Block
"June 20, 2025",10:17:56 AM GMT,,1.9E+13,,,marine 0.5%,,Jul-25,10,"1,000",Bought,541,,,3,1,2,"Foo, V",,,mt,ICE Block
"June 20, 2025",01:05:50 PM GMT,,1.9E+13,1.9E+13,,marine 0.5%-380cst,,Jul-25,5,"5,000",Bought,68,,,3,1,2,"Yik, R",,,mt,ICE Block
"June 20, 2025",01:05:50 PM GMT,,1.9E+13,1.9E+13,,marine 0.5%-380cst,,Aug-25,5,"5,000",Sold,67.5,,,3,1,2,"Yik, R",,,mt,ICE Block
"June 20, 2025",01:13:25 PM GMT,,1.9E+13,1.9E+13,,380cst,,Jul-25,5,"5,000",Bought,470.75,,,3,1,2,"Yik, R",,,mt,ICE Block
"June 20, 2025",01:13:25 PM GMT,,1.9E+13,1.9E+13,,380cst,,Aug-25,5,"5,000",Sold,466,,,3,1,2,"Yik, R",,,mt,ICE Block
"June 20, 2025",01:16:44 PM GMT,,1.9E+13,1.9E+13,,marine 0.5%,,Jul-25,5,"5,000",Sold,539,,,3,1,2,"Yik, R",,,mt,ICE Block
"June 20, 2025",01:16:44 PM GMT,,1.9E+13,1.9E+13,,marine 0.5%,,Aug-25,5,"5,000",Bought,533.5,,,3,1,2,"Yik, R",,,mt,ICE Block
"June 20, 2025",01:38:33 PM GMT,,1.9E+13,,,marine 0.5%,,Jul-25,13,"1,300",Sold,538,,,3,1,2,"Yik, R",,,mt,ICE Block
"June 20, 2025",02:01:18 PM GMT,,1.9E+13,,,380cst,,Jul-25,5,"5,000",Bought,470,,,3,1,2,"Yik, R",,,mt,ICE Block
